class,avg_BrdIndx,avg_Area,avg_Round,avg_Bright,avg_Compact,avg_ShpIndx,avg_Mean_G,avg_Mean_R,avg_Mean_NIR,avg_SD_G,avg_SD_R,avg_SD_NIR,avg_LW,avg_GLCM1,avg_Rect,avg_GLCM2,avg_Dens,avg_Assym,avg_NDVI,avg_BordLngth,avg_GLCM3
car ,1.321428571,96.14285714,1.098571429,227.7885714,1.33,1.427142857,204.5171429,237.8742857,240.9657143,26.74142857,27.22285714,25.11,2.027142857,0.497142857,0.852857143,6.281428571,1.66,0.705714286,-0.08,56,3865.407143
concrete ,4.057142857,4542.857143,1.735714286,209.6814286,2.835714286,4.418571429,182.9671429,222.0671429,224.0157143,16.90428571,17.52571429,17.24428571,2.164285714,0.691428571,0.548571429,7.81,1.395714286,0.735714286,-0.097142857,1193.714286,2079.558571
concrete ,2.047142857,3416.428571,1.288571429,226.0614286,1.938571429,2.205714286,203.59,236.59,238.0057143,12.12857143,12.32142857,12.15857143,2.04,0.684285714,0.737142857,6.962857143,1.678571429,0.724285714,-0.072857143,478.8571429,1686.251429
concrete ,2.951428571,6492.857143,1.748571429,230.1042857,2.662857143,3.414285714,203.7942857,243.3571429,243.1542857,10.79857143,10.21285714,10.11,2.925714286,0.685714286,0.675714286,7.058571429,1.34,0.877142857,-0.09,1052.857143,1897.784286
concrete ,2.588571429,7999.714286,2.052857143,195.4242857,3.274285714,7.057142857,174.1157143,205.2714286,206.8871429,15.22285714,13.50857143,14.31857143,26.63,0.81,0.575714286,7.837142857,0.465714286,0.997142857,-0.082857143,2755.142857,1445.695714
tree ,3.077142857,2467.571429,1.498571429,163.3157143,2.261428571,3.29,226.0971429,121.8571429,141.9942857,22.64428571,20.96428571,21.43285714,1.824285714,0.762857143,0.721428571,7.797142857,1.734285714,0.65,0.3,613.4285714,1670.652857
car ,2.311428571,1457.428571,1.364285714,150.7314286,1.942857143,2.542857143,131.8928571,158.2671429,162.0314286,42.03428571,43.17285714,42.26714286,2.137142857,0.731428571,0.721428571,7.34,1.465714286,0.752857143,-0.085714286,408.5714286,2360.821429
car ,1.68,876.8571429,0.805714286,180.6557143,1.558571429,1.808571429,159.0685714,189.7942857,193.1085714,40.81714286,43.68142857,42.38428571,1.96,0.651428571,0.835714286,7.088571429,1.745714286,0.608571429,-0.085714286,240.8571429,2303.697143
building ,1.238571429,2774.428571,0.53,222.2071429,1.305714286,1.257142857,191.0542857,235.6085714,239.95,13.90285714,10.37857143,9.797142857,1.13,0.764285714,0.908571429,7.124285714,2.298571429,0.218571429,-0.104285714,261.4285714,1294.781429
tree ,2.414285714,655.2857143,1.368571429,124.0414286,2.708571429,2.594285714,176.2328571,92.39571429,103.4857143,38.87857143,23.42142857,24.02571429,1.841428571,0.832857143,0.65,7.762857143,1.641428571,0.561428571,0.31,259.7142857,1463.388571
building ,1.475714286,4494,0.64,212.74,1.174285714,1.514285714,172.7128571,229.3,236.2085714,6.314285714,6.2,6.401428571,1.52,0.298571429,0.94,6.377142857,2.214285714,0.438571429,-0.14,406,3221.262857
asphalt ,3.897142857,3885.428571,1.797142857,86.95,2.835714286,3.978571429,72.38285714,91.99428571,96.48142857,18.77428571,19.74,19.67571429,1.347142857,0.694285714,0.6,7.662857143,1.675714286,0.428571429,-0.121428571,939.1428571,1793.055714
building ,1.588571429,1735.142857,1.111428571,181.6857143,1.748571429,1.798571429,169.0242857,204.1685714,171.8542857,17.20571429,15.32142857,17.95285714,2.804285714,0.644285714,0.782857143,7.337142857,1.621428571,0.802857143,-0.094285714,298.5714286,2198.295714
grass ,1.088571429,337,0.328571429,175.44,1.175714286,1.141428571,213.5042857,149.0914286,163.7185714,10.67714286,16.32428571,15.41142857,1.798571429,0.505714286,0.918571429,6.89,2.037142857,0.52,0.181428571,83.71428571,2876.27
shadow ,2.045714286,1125.857143,0.984285714,51.87,2.012857143,2.097142857,47.14428571,51.33857143,57.13285714,15.92857143,15.09428571,15.44571429,1.37,0.795714286,0.782857143,7.365714286,2.035714286,0.434285714,-0.045714286,275.4285714,1417.357143
building ,1.417142857,2128.857143,0.727142857,207.3457143,1.47,1.464285714,197.3971429,236.6285714,188.0128571,12.38714286,13.55428571,17.43428571,1.527142857,0.605714286,0.852857143,6.932857143,2.134285714,0.422857143,-0.091428571,270.8571429,2107.995714
tree ,2.165714286,507.8571429,0.872857143,129.2242857,1.894285714,2.207142857,189.2614286,91.41714286,107.0085714,23.14,16.55,16.46714286,1.052857143,0.821428571,0.787142857,7.722857143,2.05,0.107142857,0.35,192,1304.697143
soil ,3.927142857,2608.285714,2.088571429,221.2642857,3.364285714,4.018571429,218.4085714,223.2171429,222.1614286,13.64857143,18.76285714,18.84428571,1.227142857,0.615714286,0.508571429,7.46,1.54,0.498571429,-0.01,794,2489.222857
building ,1.198571429,2884.428571,0.802857143,244.5571429,1.322857143,1.224285714,229.9314286,251.6957143,252.0328571,8.145714286,6.78,5.802857143,1.257142857,0.502857143,0.85,6.685714286,2.188571429,0.422857143,-0.044285714,262.2857143,2674.264286
shadow ,1.87,1404.142857,1.535714286,58.27714286,2.314285714,2.012857143,69.46285714,49.83,55.53285714,29.36428571,22.80285714,21.37,1.87,0.791428571,0.648571429,7.525714286,1.52,0.731428571,0.148571429,329.7142857,1482.754286
pool ,1.301428571,595.5714286,0.505714286,171.9014286,1.3,1.392857143,115.7871429,177.8171429,222.0971429,31.67428571,28.30142857,29.01571429,1.921428571,0.791428571,0.861428571,7.334285714,1.998571429,0.527142857,-0.232857143,130.2857143,1496.84
shadow ,2.734285714,415.5714286,1.915714286,75,3.045714286,2.871428571,77.08142857,71.63428571,76.29,27.35857143,26.82285714,24.32714286,1.597142857,0.735714286,0.565714286,7.66,1.498571429,0.594285714,0.031428571,230,2197.384286
concrete ,4.065714286,3882.714286,2.362857143,208.6742857,5.072857143,5.205714286,186.1371429,219.6042857,220.29,14.51571429,14.28285714,14.31571429,4.341428571,0.788571429,0.477142857,7.464285714,0.841428571,0.96,-0.082857143,1310.857143,1504.54
tree ,2.914285714,806.8571429,1.841428571,136.4814286,2.98,2.971428571,170.04,114.2928571,125.1242857,27.44571429,23.72571429,22.10428571,1.231428571,0.791428571,0.652857143,8.028571429,1.654285714,0.29,0.192857143,332.5714286,1616.795714
grass ,2.298571429,1330.714286,1.572857143,150.1114286,1.822857143,2.41,195.4885714,119.3,135.5442857,16.84428571,15.79857143,14.02,1.591428571,0.714285714,0.69,7.641428571,1.775714286,0.415714286,0.24,339.4285714,1733.031429
concrete ,2.684285714,8690.571429,1.645714286,236.3385714,2.994285714,2.94,210.68,249.0485714,249.2828571,8.73,7.734285714,7.37,2.318571429,0.638571429,0.614285714,6.842857143,1.43,0.791428571,-0.081428571,1076.857143,2020.437143
grass ,2.932857143,2604.714286,1.488571429,174.8057143,2.791428571,3.248571429,201.92,159.25,163.2385714,12.77,13.12571429,12.07714286,2.378571429,0.774285714,0.69,7.415714286,1.525714286,0.79,0.12,616.5714286,1504
building ,1.32,1162,0.64,242.8828571,1.175714286,1.352857143,226.1328571,251.6085714,250.8985714,9.518571429,6.025714286,7.378571429,1.42,0.608571429,0.9,6.7,2.221428571,0.318571429,-0.05,184.5714286,2226.697143
